checkpoint,ipc,commit_count,vpmeas_ineligible,vpmeas_eligible,vpmeas_miss,vpmeas_conf_corr,vpmeas_conf_incorr,vpmeas_unconf_corr,vpmeas_unconf_incorr
429.mcf_ref.1121.0.28.gz,0.82,10000001,3973456,6026545,66,17113,26,1334151,4675189
623.xalancbmk_s_ref.3387.0.23.gz,1.82,10000001,3381724,6618277,710,3253240,101,191180,3173046
649.fotonik3d_s_ref.7179.0.32.gz,1.07,10000001,6655989,3344012,1041,2456346,103,53268,833254
434.zeusmp_ref.1055.0.27.gz,2.3,10000001,6231088,3768913,289979,1833692,0,979451,665791
482.sphinx3_ref.22342.0.32.gz,1.81,10000001,4427875,5572126,108418,923247,425,736590,3803446
464.h264ref_ref.4629.0.29.gz,5.79,10000001,974019,9025982,99379,793092,43,797284,7336184
473.astar_biglakes_ref.1844.0.50.gz,2.91,10000001,2720105,7279896,242,3623846,746,1323175,2331887
471.omnetpp_ref.4797.0.95.gz,0.83,10000001,4309721,5690280,1919148,793242,305,794245,2183340
603.bwaves_s_2_ref.62870.0.67.gz,1.81,10000001,2129532,7870469,196,294266,81,481145,7094781
400.perlbench_splitmail_ref.3196.0.22.gz,5.29,10000001,3736163,6263838,823658,2192499,47,1754540,1493094
641.leela_s_ref.15731.0.22.gz,2.38,10000001,2192587,7807414,1865520,27366,32,1946964,3967532
456.hmmer_retro_ref.18786.0.21.gz,2.36,10000001,2561770,7438231,1004,18378,97,3285475,4133277
453.povray_ref.3144.0.30.gz,3.12,10000001,4443662,5556339,1061087,14288,78,2796959,1683927
458.sjeng_ref.2396.0.24.gz,3.16,10000001,2683164,7316837,2596527,17575,138,1695835,3006762
401.bzip2_text_ref.256.0.29.gz,2.7,10000001,1720048,8279953,99955,20548,40,2585466,5573944
