checkpoint,ipc,commit_count,vpmeas_ineligible,vpmeas_eligible,vpmeas_miss,vpmeas_conf_corr,vpmeas_conf_incorr,vpmeas_unconf_corr,vpmeas_unconf_incorr
429.mcf_ref.1121.0.28.gz,1.67,10000001,3973456,6026545,66,847313,304,542573,4636289
623.xalancbmk_s_ref.3387.0.23.gz,1.8,10000001,3381724,6618277,688,3303673,85,140744,3173087
649.fotonik3d_s_ref.7179.0.32.gz,1.07,10000001,6655989,3344012,1041,2467783,103,41842,833243
434.zeusmp_ref.1055.0.27.gz,2.29,10000001,6231088,3768913,289759,1783501,0,1029901,665752
482.sphinx3_ref.22342.0.32.gz,1.8,10000001,4427875,5572126,108638,958578,333,701250,3803327
464.h264ref_ref.4629.0.29.gz,5.79,10000001,974019,9025982,99497,843856,37,746197,7336395
473.astar_biglakes_ref.1844.0.50.gz,2.9,10000001,2720105,7279896,242,3739020,645,1206137,2333852
471.omnetpp_ref.4797.0.95.gz,0.83,10000001,4309721,5690280,1921157,838789,206,747721,2182407
603.bwaves_s_2_ref.62870.0.67.gz,1.81,10000001,2129532,7870469,196,294605,227,483159,7092282
400.perlbench_splitmail_ref.3196.0.22.gz,5.29,10000001,3736163,6263838,823888,2193759,26,1752774,1493391
641.leela_s_ref.15731.0.22.gz,2.4,10000001,2192587,7807414,1846353,431720,195,1543217,3985929
456.hmmer_retro_ref.18786.0.21.gz,2.36,10000001,2561770,7438231,1004,18366,78,3285268,4133515
453.povray_ref.3144.0.30.gz,3.12,10000001,4443662,5556339,1061855,14310,39,2796692,1683443
458.sjeng_ref.2396.0.24.gz,3.16,10000001,2683164,7316837,2597807,34050,26,1678584,3006370
401.bzip2_text_ref.256.0.29.gz,2.71,10000001,1720048,8279953,100002,336945,315,2268947,5573744
