checkpoint,ipc,commit_count,vpmeas_ineligible,vpmeas_eligible,vpmeas_miss,vpmeas_conf_corr,vpmeas_conf_incorr,vpmeas_unconf_corr,vpmeas_unconf_incorr
429.mcf_ref.1121.0.28.gz,1.67,10000001,3973456,6026545,66,843689,295,546786,4635709
623.xalancbmk_s_ref.3387.0.23.gz,1.73,10000001,3381724,6618277,706,3144707,85,299734,3173045
649.fotonik3d_s_ref.7179.0.32.gz,1.07,10000001,6655989,3344012,1041,2427916,103,81709,833243
434.zeusmp_ref.1055.0.27.gz,2.29,10000001,6231088,3768913,289797,1732725,0,1080637,665754
482.sphinx3_ref.22342.0.32.gz,1.8,10000001,4427875,5572126,108833,854764,270,803518,3804741
464.h264ref_ref.4629.0.29.gz,5.76,10000001,974019,9025982,99336,675523,36,915446,7335641
473.astar_biglakes_ref.1844.0.50.gz,2.9,10000001,2720105,7279896,242,3355864,637,1589400,2333753
471.omnetpp_ref.4797.0.95.gz,0.82,10000001,4309721,5690280,1916935,539552,177,1048536,2185080
603.bwaves_s_2_ref.62870.0.67.gz,1.81,10000001,2129532,7870469,196,287200,80,488203,7094790
400.perlbench_splitmail_ref.3196.0.22.gz,5.29,10000001,3736163,6263838,823556,2155584,0,1791319,1493379
641.leela_s_ref.15731.0.22.gz,2.38,10000001,2192587,7807414,1863011,54842,57,1919840,3969664
456.hmmer_retro_ref.18786.0.21.gz,2.37,10000001,2561770,7438231,1004,22582,29,3280279,4134337
453.povray_ref.3144.0.30.gz,3.12,10000001,4443662,5556339,1061417,14302,45,2797205,1683370
458.sjeng_ref.2396.0.24.gz,3.16,10000001,2683164,7316837,2598440,19892,23,1692367,3006115
401.bzip2_text_ref.256.0.29.gz,2.7,10000001,1720048,8279953,99980,112922,117,2494364,5572570
