checkpoint,ipc,commit_count,vpmeas_ineligible,vpmeas_eligible,vpmeas_miss,vpmeas_conf_corr,vpmeas_conf_incorr,vpmeas_unconf_corr,vpmeas_unconf_incorr
429.mcf_ref.1121.0.28.gz,1.66,10000001,3973456,6026545,66,845879,304,545085,4635211
623.xalancbmk_s_ref.3387.0.23.gz,1.77,10000001,3381724,6618277,677,3241531,85,202890,3173094
649.fotonik3d_s_ref.7179.0.32.gz,1.07,10000001,6655989,3344012,1041,2454420,103,55205,833243
434.zeusmp_ref.1055.0.27.gz,2.29,10000001,6231088,3768913,289765,1766880,0,1046561,665707
482.sphinx3_ref.22342.0.32.gz,1.8,10000001,4427875,5572126,108716,917560,277,740924,3804649
464.h264ref_ref.4629.0.29.gz,5.8,10000001,974019,9025982,99228,784254,36,806256,7336208
473.astar_biglakes_ref.1844.0.50.gz,2.9,10000001,2720105,7279896,242,3561531,639,1383643,2333841
471.omnetpp_ref.4797.0.95.gz,0.82,10000001,4309721,5690280,1916331,625142,182,963030,2185595
603.bwaves_s_2_ref.62870.0.67.gz,1.81,10000001,2129532,7870469,196,290758,81,484665,7094769
400.perlbench_splitmail_ref.3196.0.22.gz,5.29,10000001,3736163,6263838,823769,2180552,3,1766141,1493373
641.leela_s_ref.15731.0.22.gz,2.4,10000001,2192587,7807414,1845488,310103,179,1664581,3987063
456.hmmer_retro_ref.18786.0.21.gz,2.4,10000001,2561770,7438231,1004,211825,182,3090630,4134590
453.povray_ref.3144.0.30.gz,3.12,10000001,4443662,5556339,1061721,14310,40,2796976,1683292
458.sjeng_ref.2396.0.24.gz,3.16,10000001,2683164,7316837,2598674,25817,21,1686099,3006226
401.bzip2_text_ref.256.0.29.gz,2.7,10000001,1720048,8279953,100001,116068,121,2490721,5573042
