checkpoint,ipc,commit_count,vpmeas_ineligible,vpmeas_eligible,vpmeas_miss,vpmeas_conf_corr,vpmeas_conf_incorr,vpmeas_unconf_corr,vpmeas_unconf_incorr
429.mcf_ref.1121.0.28.gz,0.82,10000001,3973456,6026545,66,17113,26,1334151,4675189
623.xalancbmk_s_ref.3387.0.23.gz,1.79,10000001,3381724,6618277,726,3156417,101,288026,3173007
649.fotonik3d_s_ref.7179.0.32.gz,1.07,10000001,6655989,3344012,1041,2429841,103,79773,833254
434.zeusmp_ref.1055.0.27.gz,2.29,10000001,6231088,3768913,290006,1799527,0,1013715,665665
482.sphinx3_ref.22342.0.32.gz,1.81,10000001,4427875,5572126,108605,861164,418,798567,3803372
464.h264ref_ref.4629.0.29.gz,5.84,10000001,974019,9025982,99465,684354,43,906465,7335655
473.astar_biglakes_ref.1844.0.50.gz,2.91,10000001,2720105,7279896,242,3418759,744,1528378,2331773
471.omnetpp_ref.4797.0.95.gz,0.82,10000001,4309721,5690280,1919246,677882,301,909865,2182986
603.bwaves_s_2_ref.62870.0.67.gz,1.81,10000001,2129532,7870469,196,290708,80,484683,7094802
400.perlbench_splitmail_ref.3196.0.22.gz,5.29,10000001,3736163,6263838,823408,2167868,44,1779383,1493135
641.leela_s_ref.15731.0.22.gz,2.38,10000001,2192587,7807414,1865848,18659,30,1955885,3966992
456.hmmer_retro_ref.18786.0.21.gz,2.36,10000001,2561770,7438231,1004,18378,101,3285322,4133426
453.povray_ref.3144.0.30.gz,3.12,10000001,4443662,5556339,1061117,14283,80,2796823,1684036
458.sjeng_ref.2396.0.24.gz,3.16,10000001,2683164,7316837,2595318,16977,184,1696947,3007411
401.bzip2_text_ref.256.0.29.gz,2.7,10000001,1720048,8279953,99941,20491,48,2585034,5574439
